<bos> El día <|2024-05-21|Fecha|> en la estación de <|Avenida Francia|Estacion|> hará 18.3 grados<eos>
<bos> El día <|2024-05-21|Fecha|> en la estación de <|Bulevard Sud|Estacion|> hará 18.7 grados<eos>
<bos> El día <|2024-05-21|Fecha|> en la estación de <|Conselleria Meteo|Estacion|> hará 18.3 grados<eos>
<bos> El día <|2024-05-21|Fecha|> en la estación de <|Moli del Sol|Estacion|> hará 14.8 grados<eos>
<bos> El día <|2024-05-21|Fecha|> en la estación de <|Nazaret Meteo|Estacion|> hará 18.6 grados<eos>
<bos> El día <|2024-05-21|Fecha|> en la estación de <|Pista Silla|Estacion|> hará 18.9 grados<eos>
<bos> El día <|2024-05-21|Fecha|> en la estación de <|Politecnico|Estacion|> hará 13.6 grados<eos>
<bos> El día <|2024-05-21|Fecha|> en la estación de <|Puerto Moll Tras Ponent|Estacion|> hará 17.9 grados<eos>
<bos> El día <|2024-05-21|Fecha|> en la estación de <|Puerto Valencia|Estacion|> hará 18.8 grados<eos>
<bos> El día <|2024-05-21|Fecha|> en la estación de <|Puerto llit antic Turia|Estacion|> hará 18.3 grados<eos>
<bos> El día <|2024-05-21|Fecha|> en la estación de <|Valencia Centro|Estacion|> hará 18.5 grados<eos>
<bos> El día <|2024-05-21|Fecha|> en la estación de <|Valencia Olivereta|Estacion|> hará 15.6 grados<eos>
<bos> El día <|2024-05-21|Fecha|> en la estación de <|Viveros|Estacion|> hará 15.4 grados<eos>
